City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Coahuayana,MX,78.33,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
2,Isangel,VU,76.42,clear sky,-19.55,169.2667,Tanna Lodge
3,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Meulaboh,ID,84.15,overcast clouds,4.1363,96.1285,Kost Pria
17,Rikitea,PF,74.07,overcast clouds,-23.1203,-134.9692,People ThankYou
23,Georgetown,MY,84.88,scattered clouds,5.4112,100.3354,Cititel Penang
32,Ca Mau,VN,80.42,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
37,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
38,Bac Lieu,VN,79.07,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
41,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
43,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
46,Morondava,MG,72.18,clear sky,-20.2833,44.2833,La Case Bambou
48,Ribeira Grande,PT,71.38,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
50,Puerto Penasco,MX,80.91,broken clouds,31.3167,-113.5333,Playa Bonita Resort
51,Kanigoro,ID,84.0,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
52,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
54,Bathsheba,BB,82.33,few clouds,13.2167,-59.5167,Atlantis Hotel
55,Carutapera,BR,79.36,broken clouds,-1.195,-46.02,Lidera
58,Harqalah,TN,71.46,few clouds,36.0303,10.509,Dar Khadija
59,Hilo,US,75.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
65,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
68,Sao Joao Da Barra,BR,71.78,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
71,Atuona,PF,78.22,light rain,-9.8,-139.0333,Villa Enata
72,Nelson Bay,AU,87.96,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
73,Hamilton,US,71.42,heavy intensity rain,39.1834,-84.5333,Six Acres Bed & Breakfast
77,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
81,Kailua,US,82.02,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
84,Forbes,AU,77.92,broken clouds,-33.3833,148.0167,Lake Forbes Motel
85,Wanning,CN,81.12,moderate rain,18.8003,110.3967,Paradise Hotel
91,Bandarbeyla,SO,80.42,scattered clouds,9.4942,50.8122,JABIR HOTEL
93,Ganzhou,CN,81.5,few clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
97,Hirara,JP,83.08,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
98,Kimbe,PG,84.81,light rain,-5.5502,150.1429,Kimbe Bay Hotel
103,Sao Filipe,CV,78.21,scattered clouds,14.8961,-24.4956,Hotel Xaguate
104,Russell,US,73.96,scattered clouds,32.3502,-85.1999,Macs
109,Carnarvon,AU,73.94,clear sky,-24.8667,113.6333,Hospitality Carnarvon
110,Wajima,JP,73.76,clear sky,37.4,136.9,Wajiima Onsen Yashio
112,Pedernales,DO,82.15,broken clouds,18.0384,-71.744,Hotel Costa Marina
113,Katsuura,JP,71.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
114,Kudahuvadhoo,MV,83.57,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
118,Houston,US,76.91,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
121,Mangrol,IN,84.25,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
122,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
124,Biak,ID,83.61,overcast clouds,-0.9131,122.8766,Penginapan Kim
131,Kavieng,PG,82.92,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
138,Aden,YE,86.04,clear sky,12.7794,45.0367,Sama Emirate Hotel
139,Sawakin,SD,83.3,clear sky,19.1059,37.3321,فندق الدويم
140,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
141,Butaritari,KI,81.88,broken clouds,3.0707,172.7902,Isles Sunset Lodge
148,Arraial Do Cabo,BR,70.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
150,Kavaratti,IN,82.33,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
154,Batemans Bay,AU,80.2,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
155,Alofi,NU,77.5,light rain,-19.0595,-169.9187,Taloa Heights
157,Tete,MZ,72.84,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
158,Sur,OM,83.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
163,Dillon,US,76.24,overcast clouds,34.4166,-79.3712,Dillon Express Inn
166,Cabo San Lucas,MX,86.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
167,Shingu,JP,77.07,broken clouds,33.7333,135.9833,Shingu UI Hotel
168,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
169,Pemagatsel,BT,73.09,few clouds,27.0319,91.4266,pemagatshel dzongkhag guesthouse
174,Vila Franca Do Campo,PT,75.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
187,Harper,LR,76.96,light rain,4.375,-7.7169,Screensaver
192,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
194,Ajra,IN,74.41,overcast clouds,16.1167,74.2,Hotel Minerva Paradise
196,Porbandar,IN,85.19,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
197,Kawalu,ID,84.07,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
198,Ishigaki,JP,82.4,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
203,Omboue,GA,74.62,light rain,-1.5746,9.2618,Hotel Olako
204,Hobyo,SO,79.57,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
207,Saint-Pierre,RE,73.29,light rain,-21.3393,55.4781,Lindsey Hôtel
209,Sakakah,SA,70.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
210,Tshela,CD,73.58,overcast clouds,-4.9833,12.9333,Hotel Mirador
213,Coffs Harbour,AU,81.14,overcast clouds,-30.3,153.1333,Aquajet Motel
218,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
219,Umm Lajj,SA,80.55,clear sky,25.0213,37.2685,Moon light Furnished Units
220,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
224,Saint-Joseph,RE,72.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
226,Port Augusta,AU,70.7,few clouds,-32.5,137.7667,Majestic Oasis Apartments
227,Saint-Philippe,RE,73.22,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
229,Sao Jose Da Laje,BR,71.56,overcast clouds,-9.0097,-36.0583,Pousada Gente Nossa
230,Port-Gentil,GA,76.86,overcast clouds,-0.7193,8.7815,Fengshui Residence
233,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
239,Hithadhoo,MV,83.52,scattered clouds,-0.6,73.0833,Scoop Guest House
240,Dingli,MT,70.81,few clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
241,Sainte-Marie,RE,73.78,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
243,Matara,LK,83.62,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
246,Sai Buri,TH,85.82,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
248,Roebourne,AU,85.32,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
251,Gigmoto,PH,86.27,overcast clouds,13.7796,124.39,Cj's Travellers Inn
252,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
253,San Policarpo,PH,87.75,overcast clouds,12.1791,125.5072,Agapita M. Nicart
255,Poum,NC,73.8,clear sky,-20.2333,164.0167,Gîte kajeon
257,Polasara,IN,86.04,broken clouds,19.7,84.8167,sonu sagar guest house
258,Nouadhibou,MR,74.55,overcast clouds,20.931,-17.0347,El Medina
259,Srikakulam,IN,85.86,few clouds,18.3,83.9,Micro Systems
264,Lazaro Cardenas,MX,78.76,scattered clouds,17.9583,-102.2,quinta antigua
266,Arinos,BR,78.67,scattered clouds,-15.9169,-46.1056,casa do bruno
268,Douala,CM,74.52,moderate rain,4.0483,9.7043,Hôtel Prince De Galles Douala
274,Cururupu,BR,76.91,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
278,Lambarene,GA,72.79,light rain,-0.7001,10.2406,Le Refuge
281,Porto Santo,PT,71.98,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
284,Bengkulu,ID,79.86,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
288,Rafsanjan,IR,74.19,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
289,Mudgee,AU,74.62,overcast clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
290,Tomohon,ID,83.34,scattered clouds,1.3346,124.8392,Gardenia Country Inn
293,Methoni,GR,70.21,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
296,Pathein,MM,87.42,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
301,Buraydah,SA,79.52,clear sky,26.326,43.975,فندق راحة السلام
302,Axim,GH,75.69,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
304,Cumberland,US,75.49,clear sky,35.0502,-78.8664,American Eagle Inn
306,Puerto Escondido,MX,80.13,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
307,Ambilobe,MG,75.52,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
315,Birjand,IR,75.72,clear sky,32.8663,59.2211,Birjand Tourist Hotel
319,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
320,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
322,Boca Do Acre,BR,74.34,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
324,Saint George,US,71.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
325,Maceio,BR,75.43,broken clouds,-9.6658,-35.7353,Poutur Pousada
327,Soe,ID,86.77,scattered clouds,-9.8607,124.284,Dena Hotel
329,San Patricio,US,80.44,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
331,Oussouye,SN,79.39,broken clouds,12.485,-16.5469,Auberge du Routard
334,Ponta Do Sol,PT,70.43,overcast clouds,32.6667,-17.1,Hotel do Campo
335,Airai,TL,81.97,scattered clouds,-8.9266,125.4092,Juvinal Martin
336,Immokalee,US,79.92,clear sky,26.4187,-81.4173,Seminole Casino Hotel Immokalee
340,Vanimo,PG,79.36,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
341,Kapoeta,SS,74.05,broken clouds,4.7717,33.5903,Eastgate Hotel
342,Fare,PF,78.51,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
346,Porto Novo,BJ,76.51,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
349,Diebougou,BF,76.69,overcast clouds,10.9667,-3.25,Hotel Le Consulat
350,Carauari,BR,74.26,broken clouds,-4.8828,-66.8958,Hotel Fellip
352,Monrovia,LR,77.31,light rain,6.3005,-10.7969,Sunset Inn
353,Sehwan,PK,85.82,clear sky,26.4279,67.863,Lal Shahbaz Motel STDC
357,Canutama,BR,76.17,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
359,Basco,PH,82.42,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
361,Hervey Bay,AU,77.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
363,Cap Malheureux,MU,73.89,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
366,Marihatag,PH,85.53,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
368,Nouakchott,MR,78.73,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
372,Daman,IN,85.37,broken clouds,20.4167,72.85,Silver Sands Beach Resort
373,Ewa Beach,US,80.55,few clouds,21.3156,-158.0072,Uncle Junior Robert
379,Presidente Epitacio,BR,73.0,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
380,Bambanglipuro,ID,81.59,broken clouds,-7.95,110.2833,Puri Brata
382,Srandakan,ID,81.37,broken clouds,-7.9386,110.2506,Puri Brata
386,Manacapuru,BR,77.58,overcast clouds,-3.2997,-60.6206,Novo Hotel
387,Lagoa,PT,70.36,overcast clouds,39.05,-27.9833,Casa Das Faias
391,Faanui,PF,78.73,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
392,Sonoita,MX,77.52,scattered clouds,31.85,-112.8333,Hotel Nora
394,Bubaque,GW,82.4,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
395,Alta Floresta,BR,71.85,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
397,Marsh Harbour,BS,82.81,few clouds,26.5412,-77.0636,Abaco Beach Resort
400,Singkang,MY,87.85,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
401,Maun,BW,74.62,overcast clouds,-19.9833,23.4167,Enviro Villa
406,Caravelas,BR,72.21,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
415,Acajutla,SV,80.67,broken clouds,13.5928,-89.8275,asi es
416,Wukari,NG,73.71,overcast clouds,7.85,9.7833,Elimtop
417,Hofu,JP,80.47,clear sky,34.05,131.5667,APA HOTEL YAMAGUCHI-HOFU
424,Lorengau,PG,83.03,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
425,Manokwari,ID,80.74,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
427,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
437,Luangwa,ZM,71.08,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
438,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
439,Santa Rosalia,MX,80.98,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
447,Cockburn Town,TC,82.99,clear sky,21.4612,-71.1419,Osprey Beach Hotel
448,San Nicolas,PH,81.88,moderate rain,18.1725,120.5953,NORTHVIEW Hotel
453,Pereira Barreto,BR,78.66,overcast clouds,-20.6383,-51.1092,Hotel Pousada Pantal
457,Flinders,AU,87.21,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
466,Lithakia,GR,72.68,broken clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
476,Anito,PH,86.94,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
480,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
485,Deogarh,IN,85.57,overcast clouds,21.5333,84.7333,Hotel Mamta Palace
486,Palomares,MX,73.2,overcast clouds,17.15,-95.0667,Hotel Monarca
487,Sakaiminato,JP,76.96,clear sky,35.55,133.2333,味処・民宿 まつや
488,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
491,Belle Glade,US,84.18,broken clouds,26.6845,-80.6676,Mid-City Trailer Park
492,Yelandur,IN,76.35,overcast clouds,12.0667,77.0333,Nisarga Home Stay
498,Uberlandia,BR,75.4,broken clouds,-18.9186,-48.2772,Hotel Apollo
500,Bilma,NE,76.98,clear sky,18.6853,12.9164,Expeditions Ténére voyages
501,Dingle,PH,87.58,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
504,Vila Velha,BR,71.55,mist,-20.3297,-40.2925,Quality Suites Vila Velha
506,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
507,Santa Cruz De La Palma,ES,71.74,overcast clouds,28.6835,-17.7642,H10 Taburiente Playa
508,Gushikawa,JP,81.99,moderate rain,26.3544,127.8686,Kirari Guest House
511,Manali,IN,87.89,broken clouds,13.1667,80.2667,Sarathy Lodge
512,Davila,PH,81.64,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
515,Kankan,GN,73.2,broken clouds,10.3854,-9.3057,Hotel Bate
516,Guarapari,BR,71.49,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
518,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
521,Jati,PK,85.75,few clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
522,Kassala,SD,80.62,overcast clouds,15.451,36.4,Amassi Hotel Gash
523,Kalmunai,LK,84.87,broken clouds,7.4167,81.8167,VS Villa
525,Praia Da Vitoria,PT,72.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
526,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
532,Namatanai,PG,85.05,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
534,Presidente Medici,BR,77.74,few clouds,-11.1753,-61.9014,Oliveira Palace Hotel
539,Saint-Georges,GD,81.77,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
540,Fukue,JP,77.56,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
544,Auki,SB,85.12,broken clouds,-8.7676,160.7034,Auki Motel
547,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
548,Jacksonville,US,80.06,fog,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
554,Dauphin,CA,74.88,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
555,Angoche,MZ,76.37,scattered clouds,-16.2325,39.9086,Guest House HESADA
560,Inhambane,MZ,71.22,overcast clouds,-23.865,35.3833,Oceano
561,Puerto Ayacucho,VE,76.51,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
562,Poso,ID,87.84,broken clouds,-1.3959,120.7524,Hotel 77 Poso
564,Malindi,KE,78.49,overcast clouds,-3.2175,40.1191,African House Resort
566,Naze,JP,77.95,light rain,28.3667,129.4833,オーベルジュ・アガルイ
569,Bhor,IN,79.48,overcast clouds,18.1667,73.85,Adventure Plus Resort & Park
570,Ariquemes,BR,75.42,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
572,Ranong,TH,78.08,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
574,Sibolga,ID,85.03,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
577,Along,IN,85.41,scattered clouds,28.1667,94.7667,Hotel West
578,Hadejia,NG,79.05,scattered clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
579,Statesboro,US,75.0,overcast clouds,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
581,Guerrero Negro,MX,70.3,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
584,Buchanan,LR,75.83,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
591,Dubbo,AU,73.53,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
593,Guanay,BO,71.29,overcast clouds,-15.4975,-67.8797,Hotel Ritzy
594,Les Cayes,HT,78.58,broken clouds,18.2,-73.75,Villa Orphee
596,Celestun,MX,80.28,broken clouds,20.8667,-90.4,Posada Lilia
598,Sinnamary,GF,79.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
601,Ilheus,BR,70.11,clear sky,-14.7889,-39.0494,Barravento Hotel
605,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
606,Christchurch,NZ,71.33,overcast clouds,-43.5333,172.6333,The George
607,San Ignacio,BZ,75.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
608,Aswan,EG,72.55,clear sky,24.0934,32.907,Nuba Nile
609,Jinxi,CN,79.47,few clouds,30.4323,116.2922,Jinling Hotel
613,Rosa Zarate,EC,72.07,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
615,Byron Bay,AU,84.31,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
618,Acapulco,MX,80.04,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
621,Yenagoa,NG,74.23,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
623,Tezu,IN,87.24,clear sky,27.9167,96.1667,Circuit House
624,Nara,JP,81.7,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
626,Mbaiki,CF,70.27,light rain,3.8678,17.9892,Motel MBM
628,Lodwar,KE,83.43,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
629,Lashio,MM,80.29,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
630,Demerval Lobao,BR,81.81,overcast clouds,-5.3583,-42.6764,Pousada Da Paz
634,Samarai,PG,82.76,overcast clouds,-10.6167,150.6667,Nuli Sapi
637,Pozo Colorado,PY,70.43,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
639,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
640,Coruripe,BR,73.85,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
643,Kinshasa,CD,75.76,broken clouds,-4.3246,15.3215,Flat Hotel Alhdeef
644,Ibra,OM,79.79,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
646,Doba,TD,71.65,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
650,Ciudad Bolivar,VE,78.13,scattered clouds,8.1222,-63.5497,Hotel Edi
651,Buala,SB,85.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
654,Mahesana,IN,87.35,overcast clouds,23.6,72.4,ONGC Society
